what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.xtext.ui.codetemplates,2.2.1.v201112130541,"org.eclipse.xtext.ui.codetemplates",1340366568977
started,bundle,org.eclipse.xtext.ui.codetemplates.ui,2.2.1.v201112130541,"org.eclipse.xtext.ui.codetemplates.ui",1340366568977
started,bundle,org.eclipse.xtext.ui.shared,2.2.1.v201112130541,"org.eclipse.xtext.ui.shared",1340366568977
started,bundle,org.eclipse.xtext.xbase,2.2.1.v201112130541,"org.eclipse.xtext.xbase",1340366568977
started,bundle,org.eclipse.xtext.xbase.ui,2.2.1.v201112130541,"org.eclipse.xtext.xbase.ui",1340366568977
os,sysinfo,,,"linux",1340366568982
arch,sysinfo,,,"x86",1340366568982
ws,sysinfo,,,"gtk",1340366568982
locale,sysinfo,,,"en_IE",1340366568982
processors,sysinfo,,,"2",1340366568983
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1340366568983
java.runtime.version,sysinfo,,,"1.6.0_24-b24",1340366568983
java.specification.name,sysinfo,,,"Java Platform API Specification",1340366568983
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1340366568983
java.specification.version,sysinfo,,,"1.6",1340366568983
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1340366568983
java.version,sysinfo,,,"1.6.0_24",1340366568983
java.vm.info,sysinfo,,,"mixed mode",1340366568983
java.vm.name,sysinfo,,,"OpenJDK Server VM",1340366568983
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1340366568983
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1340366568983
java.vm.specification.version,sysinfo,,,"1.0",1340366568983
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1340366568983
java.vm.version,sysinfo,,,"20.0-b12",1340366568983
