what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1340361904589
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1340361904589
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1340361904589
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1340361904589
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1340361904589
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1340361904589
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1340361904589
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1340361904589
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1340361904589
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1340361904589
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1340361904589
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1340361904589
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1340361904589
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1340361904589
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1340361904589
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1340361904589
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1340361904589
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1340361904589
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1340361904589
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1340361904589
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1340361904589
started,bundle,org.aspectj.ajde,1.6.12.20110613132200,"org.aspectj.ajde",1340361904589
started,bundle,org.eclipse.ajdt.core,2.1.3.e37x-20110628-1900,"org.eclipse.ajdt.core",1340361904589
started,bundle,org.eclipse.ajdt.ui,2.1.3.e37x-20110628-1900,"org.eclipse.ajdt.ui",1340361904589
started,bundle,org.eclipse.contribution.weaving.jdt,2.1.3.e37x-20110628-1900,"org.eclipse.contribution.weaving.jdt",1340361904589
started,bundle,org.eclipse.equinox.weaving.aspectj,1.0.1.HEAD,"org.eclipse.equinox.weaving.aspectj",1340361904589
started,bundle,org.eclipse.equinox.weaving.caching,1.0.100.HEAD,"org.eclipse.equinox.weaving.caching",1340361904589
started,bundle,org.eclipse.equinox.weaving.caching.j9,1.0.100.HEAD,"org.eclipse.equinox.weaving.caching.j9",1340361904589
os,sysinfo,,,"linux",1340361904593
arch,sysinfo,,,"x86",1340361904593
ws,sysinfo,,,"gtk",1340361904593
locale,sysinfo,,,"en_IE",1340361904593
processors,sysinfo,,,"2",1340361904594
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1340361904594
java.runtime.version,sysinfo,,,"1.6.0_24-b24",1340361904594
java.specification.name,sysinfo,,,"Java Platform API Specification",1340361904594
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1340361904594
java.specification.version,sysinfo,,,"1.6",1340361904594
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1340361904594
java.version,sysinfo,,,"1.6.0_24",1340361904594
java.vm.info,sysinfo,,,"mixed mode, sharing",1340361904594
java.vm.name,sysinfo,,,"OpenJDK Client VM",1340361904594
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1340361904594
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1340361904594
