what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340365085612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340365090960
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340365091925
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340365112750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340365112939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340365113685
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340365122112
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340365122249
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340365122292
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1340365148310
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1340365150384
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340365152685
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1340365153615
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340365153678
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340365162822
activated,editor,ie.tcd.everm.evedsl.ui,1.0.0,"ie.tcd.everm.evedsl.EveDesc",1340365170166
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340365218549
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340365218759
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340365218802
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340365224171
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1340365224313
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1340365228479
activated,editor,ie.tcd.everm.evedsl.ui,1.0.0,"ie.tcd.everm.evedsl.EveDesc",1340365255895
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340365288370
