what,kind,bundleId,bundleVersion,description,time
started,bundle,org.aspectj.ajde,1.6.12.20110613132200,"org.aspectj.ajde",1340366578194
started,bundle,org.eclipse.ajdt.core,2.1.3.e37x-20110628-1900,"org.eclipse.ajdt.core",1340366578256
started,bundle,org.eclipse.ajdt.ui,2.1.3.e37x-20110628-1900,"org.eclipse.ajdt.ui",1340366578357
error,log,,,"org.eclipse.xtext.service.CompoundModule  - java.lang.reflect.InvocationTargetException\n",1340366583642
error,log,,,"org.eclipse.xtext.service.CompoundModule  - java.lang.reflect.InvocationTargetException\n",1340366583668
error,log,,,"ie.tcd.everm.evedsl.ui.EveDescExecutableExtensionFactory  - com.google.common.util.concurrent.UncheckedExecutionException: com.google.inject.CreationException: Guice creation errors:\n\n1) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for parameter 0 at org.eclipse.xtext.ui.editor.templates.AbstractTemplateProposalProvider.setScopeProvider(Unknown Source)\n  at org.eclipse.xtext.ui.editor.templates.AbstractTemplateProposalProvider.setScopeProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n2) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.common.types.xtext.ui.JdtTypesProposalProvider.scopeProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n3) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.serializer.tokens.CrossReferenceSerializer.scopeProvider(Unknown Source)\n  while locating org.eclipse.xtext.serializer.tokens.ICrossReferenceSerializer\n    for field at org.eclipse.xtext.serializer.acceptor.SequenceFeeder$Provider.crossRefSerializer(Unknown Source)\n  while locating org.eclipse.xtext.serializer.acceptor.SequenceFeeder$Provider\n    for field at org.eclipse.xtext.serializer.sequencer.AbstractSemanticSequencer.feederProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n4) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.serializer.tokens.CrossReferenceSerializer.scopeProvider(Unknown Source)\n  while locating org.eclipse.xtext.serializer.tokens.ICrossReferenceSerializer\n    for field at org.eclipse.xtext.serializer.sequencer.AssignmentFinder.crossRefSerializer(Unknown Source)\n  while locating org.eclipse.xtext.serializer.sequencer.IAssignmentFinder\n    for field at org.eclipse.xtext.serializer.sequencer.ContextFinder.assignmentFinder(Unknown Source)\n  while locating org.eclipse.xtext.serializer.sequencer.IContextFinder\n    for field at org.eclipse.xtext.serializer.diagnostic.SequencerDiagnosticProvider.contextFinder(Unknown Source)\n  while locating org.eclipse.xtext.serializer.diagnostic.ISemanticSequencerDiagnosticProvider\n    for field at ie.tcd.everm.evedsl.serializer.AbstractEveDescSemanticSequencer.diagnosticProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n5) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.serializer.tokens.CrossReferenceSerializer.scopeProvider(Unknown Source)\n  while locating org.eclipse.xtext.serializer.tokens.ICrossReferenceSerializer\n    for field at org.eclipse.xtext.serializer.acceptor.SequenceFeeder$Provider.crossRefSerializer(Unknown Source)\n  while locating org.eclipse.xtext.serializer.acceptor.SequenceFeeder$Provider\n    for field at org.eclipse.xtext.serializer.sequencer.AbstractSemanticSequencer.feederProvider(Unknown Source)\n  while locating com.google.inject.Provider<org.eclipse.xtext.xbase.serializer.XbaseSemanticSequencer>\n    for field at ie.tcd.everm.evedsl.serializer.AbstractEveDescSemanticSequencer.superSequencerProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n6) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.serializer.tokens.CrossReferenceSerializer.scopeProvider(Unknown Source)\n  while locating org.eclipse.xtext.serializer.tokens.ICrossReferenceSerializer\n    for field at org.eclipse.xtext.serializer.sequencer.AssignmentFinder.crossRefSerializer(Unknown Source)\n  while locating org.eclipse.xtext.serializer.sequencer.IAssignmentFinder\n    for field at org.eclipse.xtext.serializer.sequencer.ContextFinder.assignmentFinder(Unknown Source)\n  while locating org.eclipse.xtext.serializer.sequencer.IContextFinder\n    for field at org.eclipse.xtext.serializer.diagnostic.SequencerDiagnosticProvider.contextFinder(Unknown Source)\n  while locating org.eclipse.xtext.serializer.diagnostic.ISemanticSequencerDiagnosticProvider\n    for field at org.eclipse.xtext.xbase.serializer.AbstractXbaseSemanticSequencer.diagnosticProvider(Unknown Source)\n  while locating com.google.inject.Provider<org.eclipse.xtext.xbase.serializer.XbaseSemanticSequencer>\n    for field at ie.tcd.everm.evedsl.serializer.AbstractEveDescSemanticSequencer.superSequencerProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n7) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.serializer.tokens.CrossReferenceSerializer.scopeProvider(Unknown Source)\n  while locating org.eclipse.xtext.serializer.tokens.ICrossReferenceSerializer\n    for field at org.eclipse.xtext.serializer.acceptor.SequenceFeeder$Provider.crossRefSerializer(Unknown Source)\n  while locating org.eclipse.xtext.serializer.acceptor.SequenceFeeder$Provider\n    for field at org.eclipse.xtext.serializer.sequencer.AbstractSemanticSequencer.feederProvider(Unknown Source)\n  while locating com.google.inject.Provider<org.eclipse.xtext.xbase.serializer.XtypeSemanticSequencer>\n    for field at org.eclipse.xtext.xbase.serializer.AbstractXbaseSemanticSequencer.superSequencerProvider(Unknown Source)\n  while locating com.google.inject.Provider<org.eclipse.xtext.xbase.serializer.XbaseSemanticSequencer>\n    for field at ie.tcd.everm.evedsl.serializer.AbstractEveDescSemanticSequencer.superSequencerProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n8) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.serializer.tokens.CrossReferenceSerializer.scopeProvider(Unknown Source)\n  while locating org.eclipse.xtext.serializer.tokens.ICrossReferenceSerializer\n    for field at org.eclipse.xtext.serializer.sequencer.AssignmentFinder.crossRefSerializer(Unknown Source)\n  while locating org.eclipse.xtext.serializer.sequencer.IAssignmentFinder\n    for field at org.eclipse.xtext.serializer.sequencer.ContextFinder.assignmentFinder(Unknown Source)\n  while locating org.eclipse.xtext.serializer.sequencer.IContextFinder\n    for field at org.eclipse.xtext.serializer.diagnostic.SequencerDiagnosticProvider.contextFinder(Unknown Source)\n  while locating org.eclipse.xtext.serializer.diagnostic.ISemanticSequencerDiagnosticProvider\n    for field at org.eclipse.xtext.xbase.serializer.AbstractXtypeSemanticSequencer.diagnosticProvider(Unknown Source)\n  while locating com.google.inject.Provider<org.eclipse.xtext.xbase.serializer.XtypeSemanticSequencer>\n    for field at org.eclipse.xtext.xbase.serializer.AbstractXbaseSemanticSequencer.superSequencerProvider(Unknown Source)\n  while locating com.google.inject.Provider<org.eclipse.xtext.xbase.serializer.XbaseSemanticSequencer>\n    for field at ie.tcd.everm.evedsl.serializer.AbstractEveDescSemanticSequencer.superSequencerProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n9) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.serializer.tokens.CrossReferenceSerializer.scopeProvider(Unknown Source)\n  while locating org.eclipse.xtext.serializer.tokens.ICrossReferenceSerializer\n    for field at org.eclipse.xtext.serializer.sequencer.AssignmentFinder.crossRefSerializer(Unknown Source)\n  while locating org.eclipse.xtext.serializer.sequencer.IAssignmentFinder\n    for field at org.eclipse.xtext.serializer.sequencer.ContextFinder.assignmentFinder(Unknown Source)\n  while locating org.eclipse.xtext.serializer.sequencer.IContextFinder\n    for field at org.eclipse.xtext.serializer.impl.Serializer.contextFinder(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n10) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.serializer.tokens.CrossReferenceSerializer.scopeProvider(Unknown Source)\n  while locating org.eclipse.xtext.serializer.tokens.ICrossReferenceSerializer\n    for field at org.eclipse.xtext.serializer.acceptor.SequenceFeeder$Provider.crossRefSerializer(Unknown Source)\n  while locating org.eclipse.xtext.serializer.acceptor.SequenceFeeder$Provider\n    for field at org.eclipse.xtext.serializer.sequencer.AbstractSemanticSequencer.feederProvider(Unknown Source)\n  at org.eclipse.xtext.service.DefaultRuntimeModule.configureGenericSemanticSequencer(DefaultRuntimeModule.java:219)\n\n11) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.serializer.tokens.CrossReferenceSerializer.scopeProvider(Unknown Source)\n  while locating org.eclipse.xtext.serializer.tokens.ICrossReferenceSerializer\n    for field at org.eclipse.xtext.serializer.sequencer.AssignmentFinder.crossRefSerializer(Unknown Source)\n  while locating org.eclipse.xtext.serializer.sequencer.IAssignmentFinder\n    for field at org.eclipse.xtext.serializer.sequencer.BacktrackingSemanticSequencer.assignmentFinder(Unknown Source)\n  at org.eclipse.xtext.service.DefaultRuntimeModule.configureGenericSemanticSequencer(DefaultRuntimeModule.java:219)\n\n12) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.serializer.tokens.CrossReferenceSerializer.scopeProvider(Unknown Source)\n  while locating org.eclipse.xtext.serializer.tokens.ICrossReferenceSerializer\n    for field at org.eclipse.xtext.serializer.sequencer.AssignmentFinder.crossRefSerializer(Unknown Source)\n  while locating org.eclipse.xtext.serializer.sequencer.IAssignmentFinder\n    for field at org.eclipse.xtext.serializer.sequencer.ContextFinder.assignmentFinder(Unknown Source)\n  while locating org.eclipse.xtext.serializer.sequencer.IContextFinder\n    for field at org.eclipse.xtext.serializer.diagnostic.SequencerDiagnosticProvider.contextFinder(Unknown Source)\n  while locating org.eclipse.xtext.serializer.diagnostic.ISemanticSequencerDiagnosticProvider\n    for field at org.eclipse.xtext.serializer.sequencer.BacktrackingSemanticSequencer.diagnosticProvider(Unknown Source)\n  at org.eclipse.xtext.service.DefaultRuntimeModule.configureGenericSemanticSequencer(DefaultRuntimeModule.java:219)\n\n13) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.ui.editor.contentassist.AbstractJavaBasedContentProposalProvider$ReferenceProposalCreator.scopeProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n14) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.ui.editor.contentassist.AbstractJavaBasedContentProposalProvider.scopeProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n15) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.ui.editor.quickfix.DefaultQuickfixProvider.scopeProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n16) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.xbase.linking.XbaseLinkingScopeProvider.delegate(Unknown Source)\n  at ie.tcd.everm.evedsl.AbstractEveDescRuntimeModule.configureLinkingIScopeProvider(AbstractEveDescRuntimeModule.java:179)\n\n17) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.xbase.serializer.XbaseSemanticSequencer.scopeProvider(Unknown Source)\n  while locating com.google.inject.Provider<org.eclipse.xtext.xbase.serializer.XbaseSemanticSequencer>\n    for field at ie.tcd.everm.evedsl.serializer.AbstractEveDescSemanticSequencer.superSequencerProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n18) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.xbase.validation.XbaseJavaValidator.scopeProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n18 errors\n",1340366583930
error,log,,,"Unable to create editor ID ie.tcd.everm.evedsl.EveDesc: The editor class could not be instantiated. This usually indicates a missing no-arg constructor or that the editor's class name was mistyped in plugin.xml.",1340366583950
opened,editor,ie.tcd.everm.evedsl.ui,1.0.0,"ie.tcd.everm.evedsl.EveDesc",1340366584203
opened,editor,ie.tcd.everm.evedsl.ui,1.0.0,"ie.tcd.everm.evedsl.EveDesc",1340366584209
activated,editor,ie.tcd.everm.evedsl.ui,1.0.0,"ie.tcd.everm.evedsl.EveDesc",1340366584359
